post_time,likes,comments,shares,love,support,wow,haha,anger,sorry,words,has_image,fetched_time
27/04/2020 11:30:13,8165,413,65,508,2,19,10,0,14,180,True,07/05/2020 08:53:35
27/04/2020 10:36:00,5952,1518,524,146,0,9,35,342,22,124,True,07/05/2020 08:53:36
27/04/2020 09:03:15,2943,166,230,13,0,0,1,304,148,122,True,07/05/2020 08:53:37
26/04/2020 12:52:12,7454,1205,287,51,0,31,677,158,14,34,True,07/05/2020 08:53:38
26/04/2020 11:30:00,1967,235,66,2,0,3,0,371,61,153,True,07/05/2020 08:53:40
26/04/2020 09:30:00,8775,1468,941,40,1,20,25,1135,128,133,True,07/05/2020 08:53:41
26/04/2020 08:30:28,2122,647,381,5,0,34,14,635,16,56,False,07/05/2020 08:53:41
25/04/2020 22:47:51,1209,173,23,5,0,3,283,1,0,27,True,07/05/2020 08:53:42
25/04/2020 20:49:23,1547,255,50,5,0,3,178,144,6,25,True,07/05/2020 08:53:44
25/04/2020 11:30:52,5699,386,106,275,1,5,8,3,2,23,True,07/05/2020 08:53:46
25/04/2020 10:00:48,11222,1028,214,778,1,3,14,0,0,14,True,07/05/2020 08:53:47
24/04/2020 19:46:04,6211,920,553,20,0,18,3,1951,679,101,True,07/05/2020 08:53:48
24/04/2020 16:52:14,5541,1606,31,364,1,82,16,2,659,15,True,07/05/2020 08:53:50
24/04/2020 11:30:00,6976,607,661,417,0,25,296,19,8,14,False,07/05/2020 08:53:50
24/04/2020 09:30:41,5564,353,342,364,1,19,2,3,708,120,True,07/05/2020 08:53:51
24/04/2020 08:30:24,5923,877,299,292,0,57,717,3,0,11,True,07/05/2020 08:53:52
24/04/2020 07:30:20,13990,1084,991,82,0,13,5,1258,5635,104,True,07/05/2020 08:53:54
23/04/2020 23:46:59,7412,371,169,117,0,13,2,8,2769,42,True,07/05/2020 08:53:55
23/04/2020 22:57:20,5453,677,180,87,0,8,401,42,8,140,True,07/05/2020 08:53:56
23/04/2020 17:55:53,2835,213,65,157,0,4,6,0,0,126,True,07/05/2020 08:53:56
23/04/2020 11:30:20,2618,296,280,5,0,27,124,631,26,2,True,07/05/2020 08:53:59
23/04/2020 10:30:00,3069,129,73,168,0,9,4,1,0,47,True,07/05/2020 08:53:59
23/04/2020 09:30:56,2165,227,149,4,0,7,4,561,42,50,True,07/05/2020 08:54:00
23/04/2020 08:30:04,4931,365,540,15,0,3,45,631,88,190,True,07/05/2020 08:54:01
23/04/2020 07:30:14,2930,278,175,2,0,15,5,821,64,32,True,07/05/2020 08:54:03
22/04/2020 14:15:00,2036,260,131,7,0,4,872,0,1,6,False,07/05/2020 08:54:03
22/04/2020 12:30:44,2388,234,352,4,0,15,4,399,33,143,True,07/05/2020 08:54:04
22/04/2020 10:30:00,2335,422,84,4,0,3,1,452,35,35,True,07/05/2020 08:54:05
22/04/2020 09:00:01,5696,634,379,6,0,23,3,944,390,18,True,07/05/2020 08:54:07
22/04/2020 08:50:20,4595,2445,1180,12,0,106,3,1873,620,27,False,07/05/2020 08:54:08
22/04/2020 08:28:29,2953,320,175,3,0,21,0,932,297,41,True,07/05/2020 08:54:09
22/04/2020 07:30:01,3960,185,86,362,0,5,0,1,15,68,True,07/05/2020 08:54:09
21/04/2020 19:21:34,5684,783,440,5,0,31,49,1262,110,32,True,07/05/2020 08:54:12
21/04/2020 16:37:38,3362,907,1244,0,0,0,0,0,0,33,False,
21/04/2020 14:00:48,4846,321,738,701,0,39,2,0,4,24,False,07/05/2020 08:54:12
21/04/2020 12:30:21,3259,548,430,22,0,9,2,374,61,124,True,07/05/2020 08:54:13
21/04/2020 11:00:01,3919,56,131,136,0,9,10,0,3,19,True,07/05/2020 08:54:15
21/04/2020 09:30:00,2471,128,114,82,0,1,0,2,207,124,True,07/05/2020 08:54:16
21/04/2020 08:30:00,1318,40,81,25,0,3,1,0,8,131,True,07/05/2020 08:54:17
21/04/2020 07:30:49,2209,262,194,10,0,5,7,457,6,61,False,07/05/2020 08:54:17
21/04/2020 06:30:47,4057,165,258,23,0,11,1,9,1233,112,True,07/05/2020 08:54:19
20/04/2020 20:10:19,8892,487,820,165,0,30,6,28,2132,26,True,07/05/2020 08:54:20
20/04/2020 14:04:14,7626,800,1980,10,0,107,7,1907,44,131,True,07/05/2020 08:54:21
20/04/2020 11:00:07,21135,1002,680,2646,0,64,8,6,20,87,True,07/05/2020 08:54:22
20/04/2020 09:30:00,1731,371,55,2,0,5,319,111,8,3,True,07/05/2020 08:54:24
20/04/2020 08:30:00,8547,564,524,238,0,47,1015,3,0,15,True,07/05/2020 08:54:25
20/04/2020 07:30:57,1721,368,251,8,0,121,19,511,21,61,False,07/05/2020 08:54:25
20/04/2020 06:30:49,6275,417,455,351,0,23,7,1,1,6,True,07/05/2020 08:54:26
19/04/2020 17:00:01,1808,88,70,66,0,2,1,1,1,136,True,07/05/2020 08:54:28
19/04/2020 15:09:11,4617,922,737,6,0,54,17,1636,286,60,True,07/05/2020 08:54:29
19/04/2020 13:09:16,3989,1062,528,28,0,11,1023,80,7,18,False,07/05/2020 08:54:30
19/04/2020 11:05:00,4451,574,557,52,0,7,12,120,9,131,True,07/05/2020 08:54:30
19/04/2020 09:30:00,3207,265,51,252,0,2,3,6,19,136,True,07/05/2020 08:54:33
19/04/2020 08:25:42,4069,1309,340,7,0,65,42,946,27,29,True,07/05/2020 08:54:33
19/04/2020 07:30:00,5400,213,409,35,0,14,4,11,1736,133,True,07/05/2020 08:54:34
18/04/2020 18:33:34,5213,1886,1738,13,0,46,25,1691,51,78,False,07/05/2020 08:54:35
18/04/2020 17:20:27,16214,1979,1041,444,0,29,206,52,12,6,True,07/05/2020 08:54:37
18/04/2020 13:20:58,1995,395,90,6,0,7,860,4,6,29,True,07/05/2020 08:54:38
18/04/2020 12:00:40,3623,363,108,10,0,40,4,462,23,57,True,07/05/2020 08:54:38
18/04/2020 11:33:30,2103,353,189,14,0,4,53,179,5,83,False,07/05/2020 08:54:39
18/04/2020 10:30:46,5377,652,117,49,0,11,1938,1,0,8,True,07/05/2020 08:54:41
17/04/2020 17:16:32,5188,1516,1505,6,0,102,45,1690,71,29,False,07/05/2020 08:54:42
17/04/2020 15:11:40,17565,1285,721,683,0,20,22,1,0,73,True,07/05/2020 08:54:43
17/04/2020 09:30:26,3989,445,608,5,0,5,5,869,67,13,True,07/05/2020 08:54:44
17/04/2020 08:30:17,1851,390,59,3,0,9,133,226,9,13,True,07/05/2020 08:54:46
17/04/2020 07:30:14,9290,2112,929,40,0,25,33,966,57,64,True,07/05/2020 08:54:47
16/04/2020 23:56:23,5345,578,49,8,0,3,6,915,18,66,True,07/05/2020 08:54:47
16/04/2020 19:29:59,8902,1879,1501,34,0,47,45,1776,86,42,True,07/05/2020 08:54:48
16/04/2020 14:05:02,2543,453,231,5,0,16,11,672,37,38,True,07/05/2020 08:54:50
16/04/2020 10:30:00,13426,1710,4338,219,0,49,23,1913,154,14,False,07/05/2020 08:54:51
16/04/2020 08:30:01,5327,478,421,35,0,9,15,95,14,113,True,07/05/2020 08:54:51
16/04/2020 07:30:59,2512,274,238,4,0,15,71,312,15,31,True,07/05/2020 08:54:52
15/04/2020 19:42:38,4517,384,33,171,0,2,17,1,0,29,True,07/05/2020 08:54:54
15/04/2020 17:47:02,4056,405,262,8,0,22,98,840,31,45,True,07/05/2020 08:54:55
15/04/2020 10:39:12,2957,398,135,2,0,168,62,776,97,21,True,07/05/2020 08:54:56
15/04/2020 10:00:16,6749,886,547,458,0,18,61,1,0,51,True,07/05/2020 08:54:56
14/04/2020 15:56:08,5945,269,29,464,0,5,8,1,0,13,True,07/05/2020 08:54:59
14/04/2020 13:05:41,4120,584,334,16,0,6,7,579,45,133,True,07/05/2020 08:54:59
14/04/2020 10:00:01,11246,1401,1369,1109,0,126,36,2,3,137,True,07/05/2020 08:55:00
14/04/2020 08:30:00,7549,414,780,37,0,52,5,13,3280,126,True,07/05/2020 08:55:01
14/04/2020 07:30:19,6641,489,1009,20,0,28,29,849,150,74,True,07/05/2020 08:55:03
13/04/2020 22:34:28,2765,1257,580,1,0,13,1,1421,354,68,False,07/05/2020 08:55:04
13/04/2020 13:30:00,4561,472,174,10,0,16,2204,6,4,25,True,07/05/2020 08:55:04
13/04/2020 08:55:42,8701,2141,1156,61,0,27,26,1104,169,130,True,07/05/2020 08:55:05
13/04/2020 07:30:42,8689,452,683,635,0,19,22,3,0,171,True,07/05/2020 08:55:07
12/04/2020 23:30:48,12191,1001,281,93,0,29,11,9,5638,27,True,07/05/2020 08:55:08
12/04/2020 12:40:02,9365,762,294,365,0,3,34,8,0,38,True,07/05/2020 08:55:09
12/04/2020 10:30:00,4969,438,2296,478,0,27,14,4,0,11,False,07/05/2020 08:55:09
12/04/2020 09:30:00,9837,1164,491,601,0,13,152,21,10,41,True,07/05/2020 08:55:12
12/04/2020 08:30:02,7499,242,162,432,0,8,3,1,0,126,True,07/05/2020 08:55:12
12/04/2020 07:30:04,6780,1171,482,51,0,19,1475,139,19,120,True,07/05/2020 08:55:13
11/04/2020 23:06:07,9553,1098,981,76,1,19,3098,25,7,17,False,07/05/2020 08:55:14
11/04/2020 19:40:03,4131,593,199,18,0,5,1030,65,6,67,False,07/05/2020 08:55:16
11/04/2020 16:55:12,7919,518,652,254,0,25,17,4,3,128,True,07/05/2020 08:55:16
11/04/2020 16:04:29,2739,143,7,9,0,4,616,0,0,13,True,07/05/2020 08:55:17
11/04/2020 11:28:34,7112,763,163,37,0,190,9,13,2582,19,True,07/05/2020 08:55:18
11/04/2020 10:00:17,4836,333,320,192,0,8,26,1,0,5,False,07/05/2020 08:55:20
10/04/2020 17:57:30,3146,671,71,9,0,10,869,52,3,24,True,07/05/2020 08:55:21
10/04/2020 11:30:00,5351,268,312,112,0,10,5,13,1191,119,True,07/05/2020 08:55:22
10/04/2020 10:30:00,8213,881,1035,44,0,14,78,868,94,81,True,07/05/2020 08:55:22
10/04/2020 09:30:00,3905,129,264,463,0,24,5,0,2,21,False,07/05/2020 08:55:24
10/04/2020 08:30:15,10159,1353,1019,68,0,23,95,788,38,82,True,07/05/2020 08:55:25
10/04/2020 07:30:39,8224,549,898,31,0,108,1369,629,53,32,True,07/05/2020 08:55:26
09/04/2020 17:40:09,4842,948,387,56,0,2,329,121,6,139,True,07/05/2020 08:55:27
09/04/2020 15:00:35,3224,73,22,240,0,3,3,0,0,71,True,07/05/2020 08:55:29
09/04/2020 12:55:00,12498,683,1246,1722,0,129,11,0,4,12,False,07/05/2020 08:55:30
09/04/2020 11:44:37,1664,359,217,5,0,73,13,530,26,11,False,07/05/2020 08:55:30
09/04/2020 11:30:07,2636,189,88,221,0,8,3,0,1,10,False,07/05/2020 08:55:31
09/04/2020 10:00:23,6898,998,208,123,0,17,458,49,4,60,True,07/05/2020 08:55:33
08/04/2020 21:06:58,12293,455,57,908,0,7,9,0,0,51,True,07/05/2020 08:55:34
08/04/2020 13:51:01,3118,1089,120,0,0,0,0,0,0,1,False,
08/04/2020 13:30:18,3511,194,220,7,0,5,2,73,1031,131,True,07/05/2020 08:55:35
08/04/2020 10:30:00,4456,177,127,392,0,8,2,0,1,63,True,07/05/2020 08:55:37
08/04/2020 09:30:00,3973,370,231,15,0,3,43,50,10,7,True,07/05/2020 08:55:38
08/04/2020 08:00:23,6642,1667,518,46,0,12,28,765,25,131,True,07/05/2020 08:55:39
08/04/2020 07:00:03,14087,729,869,1190,0,16,21,1,0,81,True,07/05/2020 08:55:40
07/04/2020 18:25:59,5566,1698,542,10,0,41,20,1621,96,26,True,07/05/2020 08:55:42
07/04/2020 16:11:01,2092,356,197,4,0,38,142,308,28,20,False,07/05/2020 08:55:42
07/04/2020 12:39:39,4772,1691,827,163,0,44,74,88,64,30,False,07/05/2020 08:55:43
07/04/2020 10:30:55,5746,609,142,453,0,17,33,1,2,76,True,07/05/2020 08:55:44
07/04/2020 09:30:00,4317,214,546,23,0,4,2,43,1469,106,True,07/05/2020 08:55:46
07/04/2020 08:30:00,6734,348,322,593,0,12,10,0,0,47,True,07/05/2020 08:55:47
07/04/2020 07:30:26,2851,430,197,29,0,3,7,27,0,113,True,07/05/2020 08:55:48
06/04/2020 23:10:58,17159,1360,339,714,0,59,9,3,1730,37,True,07/05/2020 08:55:48
06/04/2020 22:10:41,30987,1234,464,1715,0,7,42,10,10,13,True,07/05/2020 08:55:50
06/04/2020 21:03:04,4593,237,151,123,0,13,7,0,0,53,False,07/05/2020 08:55:51
06/04/2020 16:21:59,9903,430,95,373,0,6,3,1,0,18,True,07/05/2020 08:55:52
06/04/2020 11:30:00,5330,906,353,9,0,13,20,784,1323,4,True,07/05/2020 08:55:52
06/04/2020 10:00:01,5743,410,911,187,0,12,8,36,14,50,False,07/05/2020 08:55:54
06/04/2020 08:30:00,2849,748,97,6,0,15,1425,24,9,8,True,07/05/2020 08:55:55
06/04/2020 07:30:06,7880,489,307,424,0,34,12,3,0,73,True,07/05/2020 08:55:56
06/04/2020 00:06:59,7920,613,440,41,0,314,6,1105,78,17,True,07/05/2020 08:55:57
05/04/2020 21:21:35,5120,652,675,26,0,14,1691,41,6,34,False,07/05/2020 08:56:01
05/04/2020 15:26:35,3349,252,194,387,0,20,2,0,1,12,False,07/05/2020 08:56:01
05/04/2020 11:55:09,11643,847,1011,1332,0,19,21,5,3,24,False,07/05/2020 08:56:02
05/04/2020 10:00:01,2517,290,288,6,0,6,51,318,8,26,False,07/05/2020 08:56:03
05/04/2020 09:00:01,3795,767,869,16,0,71,31,1065,40,10,False,07/05/2020 08:56:05
05/04/2020 07:59:03,8644,316,117,902,0,18,2,0,4,129,True,07/05/2020 08:56:07
04/04/2020 20:42:56,4474,701,361,17,0,24,1,741,565,171,True,07/05/2020 08:56:08
04/04/2020 19:40:43,4817,356,274,26,0,9,6,172,92,100,True,07/05/2020 08:56:10
04/04/2020 15:00:43,4967,1614,1271,25,0,19,48,1280,70,135,False,07/05/2020 08:56:12
04/04/2020 12:22:13,1791,179,279,8,0,6,4,552,33,56,False,07/05/2020 08:56:13
04/04/2020 11:27:55,2578,339,63,6,0,32,239,342,27,53,True,07/05/2020 08:56:14
04/04/2020 10:46:44,3011,184,275,16,0,14,419,9,2,6,True,07/05/2020 08:56:16
03/04/2020 18:41:16,4860,295,29,429,0,0,6,0,1,52,True,07/05/2020 08:56:18
03/04/2020 15:47:16,1033,132,12,9,0,0,5,0,0,31,False,07/05/2020 08:56:19
03/04/2020 15:22:25,6469,745,386,81,0,332,754,2,11,39,True,07/05/2020 08:56:20
03/04/2020 12:50:59,4526,705,1117,11,0,26,14,1299,67,32,False,07/05/2020 08:56:21
03/04/2020 11:10:53,7984,465,359,84,0,15,14,20,66,5,True,07/05/2020 08:56:24
03/04/2020 09:30:00,2855,316,421,6,0,25,27,524,25,16,False,07/05/2020 08:56:25
03/04/2020 08:30:00,3136,479,581,5,0,17,19,731,38,36,False,07/05/2020 08:56:26
02/04/2020 20:57:46,3444,278,97,3,0,5,1107,40,4,12,True,07/05/2020 08:56:27
02/04/2020 17:00:54,2702,714,726,8,0,22,11,783,25,57,False,07/05/2020 08:56:29
02/04/2020 16:06:50,1556,255,123,9,0,117,157,26,2,82,False,07/05/2020 08:56:30
02/04/2020 12:30:17,10817,1118,76,1458,0,5,5,1,23,93,True,07/05/2020 08:56:31
02/04/2020 11:30:00,9158,2047,825,24,0,33,36,1700,94,81,True,07/05/2020 08:56:33
02/04/2020 09:30:00,3066,392,271,4,0,4,40,649,22,11,True,07/05/2020 08:56:35
02/04/2020 08:30:00,3840,590,490,7,0,12,52,834,30,45,True,07/05/2020 08:56:37
02/04/2020 07:30:38,3288,653,155,8,0,22,212,523,94,19,True,07/05/2020 08:56:38
02/04/2020 06:30:05,6556,718,50,144,0,31,21,3,570,4,True,07/05/2020 08:56:39
01/04/2020 18:41:25,3807,2364,960,21,0,41,53,1392,32,19,False,07/05/2020 08:56:41
01/04/2020 18:00:48,3816,962,764,12,0,30,16,1188,50,53,False,07/05/2020 08:56:42
01/04/2020 16:50:50,2175,481,129,8,0,6,253,98,4,127,True,07/05/2020 08:56:44
01/04/2020 11:35:16,3877,687,1420,14,0,29,10,1016,71,42,False,07/05/2020 08:56:45
01/04/2020 09:30:32,3558,334,400,2,0,15,5,1388,99,24,True,07/05/2020 08:56:47
01/04/2020 08:30:35,10582,244,127,694,0,5,7,1,23,14,True,07/05/2020 08:56:49
01/04/2020 07:30:46,5835,207,179,56,0,5,1,34,907,125,True,07/05/2020 08:56:50
01/04/2020 06:30:36,6234,297,227,447,0,35,0,0,2,33,True,07/05/2020 08:56:51
31/03/2020 20:25:12,3732,307,130,0,0,30,13,1139,70,19,True,07/05/2020 08:56:54
31/03/2020 17:22:39,4557,262,309,317,0,15,0,0,107,126,True,07/05/2020 08:56:56
31/03/2020 14:03:02,7267,563,773,544,0,31,115,1,0,20,True,07/05/2020 08:56:57
31/03/2020 10:30:00,1959,501,170,4,0,10,9,469,24,30,False,07/05/2020 08:56:58
31/03/2020 09:30:00,9606,161,386,957,0,131,10,0,14,34,True,07/05/2020 08:57:01
31/03/2020 08:30:00,22086,949,559,1506,0,51,5,0,0,53,True,07/05/2020 08:57:02
31/03/2020 07:30:12,3461,755,293,4,0,8,71,847,22,43,True,07/05/2020 08:57:03
30/03/2020 14:24:59,2416,91,65,44,0,1,7,0,0,146,True,07/05/2020 08:57:04
30/03/2020 13:02:43,4094,1061,1370,25,0,450,21,687,94,13,False,07/05/2020 08:57:07
30/03/2020 12:12:48,9026,647,993,28,0,15,5,1829,1917,101,True,07/05/2020 08:57:08
30/03/2020 10:30:00,4613,461,62,7,0,4,2053,6,1,4,True,07/05/2020 08:57:09
30/03/2020 09:30:51,6459,551,371,39,0,11,67,387,18,72,True,07/05/2020 08:57:11
30/03/2020 08:30:35,4404,787,272,13,0,12,1266,31,5,50,True,07/05/2020 08:57:13
30/03/2020 07:30:35,4587,1608,609,20,0,49,12,636,647,130,True,07/05/2020 08:57:15
29/03/2020 17:21:59,4527,371,267,71,0,4,663,0,3,107,True,07/05/2020 08:57:16
29/03/2020 13:30:25,3896,560,297,9,0,7,10,754,46,52,True,07/05/2020 08:57:17
29/03/2020 11:33:27,5448,350,140,73,0,4,100,2,1,8,True,07/05/2020 08:57:20
29/03/2020 09:30:17,4578,731,107,91,0,5,895,8,5,31,True,07/05/2020 08:57:21
29/03/2020 08:30:00,1104,147,71,4,0,48,5,201,16,29,False,07/05/2020 08:57:23
29/03/2020 07:30:06,3224,189,258,121,0,12,3,0,2,28,False,07/05/2020 08:57:23
29/03/2020 06:30:39,5181,255,78,93,0,5,3,1,1,9,True,07/05/2020 08:57:26
28/03/2020 20:41:40,5716,820,124,19,0,7,1853,14,6,21,True,07/05/2020 08:57:28
28/03/2020 20:20:33,1796,143,22,7,0,3,235,2,2,29,True,07/05/2020 08:57:29
28/03/2020 18:40:28,3139,1533,317,12,0,44,269,637,31,107,False,07/05/2020 08:57:30
28/03/2020 10:30:32,10289,2063,959,343,0,13,1453,19,8,25,False,07/05/2020 08:57:32
28/03/2020 09:00:19,10537,1691,1054,30,0,75,168,313,36,36,True,07/05/2020 08:57:34
27/03/2020 18:08:08,2656,53,5,117,0,4,2,0,1,37,True,07/05/2020 08:57:36
27/03/2020 16:26:41,4902,851,643,20,0,25,77,885,57,20,False,07/05/2020 08:57:37
27/03/2020 11:46:46,4990,695,389,35,0,14,100,93,32,134,True,07/05/2020 08:57:40
27/03/2020 11:30:00,2888,176,115,30,0,1,441,2,1,40,True,07/05/2020 08:57:41
27/03/2020 10:30:00,2900,307,98,7,0,4,925,10,5,8,True,07/05/2020 08:57:43
27/03/2020 09:30:00,1792,259,43,5,0,1,255,2,9,6,True,07/05/2020 08:57:44
27/03/2020 08:30:00,3883,325,513,28,0,4,1311,2,0,6,False,07/05/2020 08:57:46
27/03/2020 07:30:00,6310,422,324,47,0,3,5,139,19,103,True,07/05/2020 08:57:47
26/03/2020 22:58:45,29159,3733,1128,685,0,29,7385,48,10,76,True,07/05/2020 08:57:48
26/03/2020 22:00:38,18564,2798,1950,545,0,11,3750,6,1,10,False,07/05/2020 08:57:49
26/03/2020 17:09:32,11397,589,610,161,0,8,2889,0,11,6,True,07/05/2020 08:57:52
26/03/2020 16:25:30,7898,889,230,134,0,20,1696,1,1,21,True,07/05/2020 08:57:54
26/03/2020 15:56:15,2509,339,119,7,0,5,409,132,13,11,True,07/05/2020 08:57:55
26/03/2020 14:01:33,5702,1488,1134,22,0,24,1699,466,38,35,False,07/05/2020 08:57:56
26/03/2020 12:30:24,4578,826,3151,64,0,315,7,177,75,70,False,07/05/2020 08:57:59
26/03/2020 11:30:11,4784,209,159,404,0,15,2,0,0,96,True,07/05/2020 08:58:00
26/03/2020 09:30:38,4069,226,357,13,0,7,3,350,741,5,True,07/05/2020 08:58:01
26/03/2020 08:30:02,15737,4101,4145,2146,0,100,65,40,205,18,False,07/05/2020 08:58:02
26/03/2020 07:30:03,1781,107,66,11,0,26,25,0,16,19,True,07/05/2020 08:58:05
26/03/2020 07:00:20,4789,612,756,15,0,13,47,552,257,162,True,07/05/2020 08:58:06
25/03/2020 20:55:31,7137,452,280,300,0,6,11,0,0,21,True,07/05/2020 08:58:08
25/03/2020 18:38:03,2902,928,495,8,0,10,35,692,39,30,False,07/05/2020 08:58:09
25/03/2020 17:47:49,13193,2034,1348,2424,2,57,43,2,1754,17,False,07/05/2020 08:58:12
25/03/2020 17:04:28,6063,392,133,120,0,6,16,7,37,164,True,07/05/2020 08:58:13
25/03/2020 14:29:45,3529,816,224,11,0,12,486,374,18,47,True,07/05/2020 08:58:14
25/03/2020 12:56:03,4632,575,316,14,0,15,2,952,139,47,True,07/05/2020 08:58:16
25/03/2020 11:30:00,2652,571,1922,6,0,19,23,829,45,14,False,07/05/2020 08:58:18
25/03/2020 09:30:42,3740,968,790,5,0,25,48,1307,255,12,True,07/05/2020 08:58:20
25/03/2020 08:30:49,5336,810,353,116,0,4,7,88,24,132,True,07/05/2020 08:58:21
25/03/2020 07:30:01,5611,435,245,194,0,5,5,6,2,16,True,07/05/2020 08:58:22
25/03/2020 07:00:53,7398,664,286,828,0,21,5,0,1,24,False,07/05/2020 08:58:25
24/03/2020 19:19:16,1493,171,23,1,0,6,1,1,519,12,True,07/05/2020 08:58:26
24/03/2020 16:14:10,2600,198,32,8,0,4,3,3,937,7,True,07/05/2020 08:58:28
